hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|PA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,
St Elizabeth Edgewood,7/1/2024,2.2.0,St Elizabeth Edgewood|St Elizabeth Covington|St Elizabeth Dearborn|St Elizabeth Florence|St Elizabeth Ft Thomas|St Elizabeth Grant,"1 Medical Village Drive, Edgewood, KY 41017|1500 James Simpson Jr Way, Covington, KY 41011|600 Wilson Creek Rd, Lawrenceburg, IN 47025|4900 Houston Rd, Florence, KY 41042|85 N Grand Ave, Fort Thomas, KY 41075|238 Barnes Rd, Williamstown, KY 41097",PA DOH 163301,TRUE,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes
DEBRID SKIN AND SQ TISSUE,361,RC,11042,CPT,,,,,facility,inpatient,,,7494,5995.2,Aetna,EBR ASO,,2622.9,,,,1318.94,6369.9,percent of total billed charges,
DEBRID SKIN AND SQ TISSUE,361,RC,11042,CPT,,,,,facility,outpatient,,,7494,5995.2,Aetna,EBR ASO,,2622.9,,,,36.3,6369.9,percent of total billed charges,
DEBRID SKIN AND SQ TISSUE,361,RC,11042,CPT,,,,,facility,inpatient,,,7494,5995.2,Aetna,EBR ASO,PO,2622.9,,,,1318.94,6369.9,percent of total billed charges,
DEBRID SKIN AND SQ TISSUE,361,RC,11042,CPT,,,,,facility,outpatient,,,7494,5995.2,Aetna,EBR ASO,PO,2622.9,,,,36.3,6369.9,percent of total billed charges,
DEBRIDE SKIN SUBCU TISSU & MUS,361,RC,11043,CPT,,,,,facility,inpatient,,,8035,6428,Aetna,EBR ASO,,2812.25,,,,1414.16,6829.75,percent of total billed charges,
DEBRIDE SKIN SUBCU TISSU & MUS,361,RC,11043,CPT,,,,,facility,outpatient,,,8035,6428,Aetna,EBR ASO,,2812.25,,,,36.3,6829.75,percent of total billed charges,
DEBRIDE SKIN SUBCU TISSU & MUS,361,RC,11043,CPT,,,,,facility,inpatient,,,8035,6428,Aetna,EBR ASO,PO,2812.25,,,,1414.16,6829.75,percent of total billed charges,
DEBRIDE SKIN SUBCU TISSU & MUS,361,RC,11043,CPT,,,,,facility,outpatient,,,8035,6428,Aetna,EBR ASO,PO,2812.25,,,,36.3,6829.75,percent of total billed charges,
DEBRIDE SKIN SUBQ MUS & BONE,361,RC,11044,CPT,,,,,facility,inpatient,,,6191,4952.8,Aetna,EBR ASO,,2166.85,,,,1089.62,5262.35,percent of total billed charges,
DEBRIDE SKIN SUBQ MUS & BONE,361,RC,11044,CPT,,,,,facility,outpatient,,,6191,4952.8,Aetna,EBR ASO,,2166.85,,,,36.3,5262.35,percent of total billed charges,
DEBRID MUSCLE EA ADD'L 20 CM,361,RC,11046,CPT,,,,,facility,inpatient,,,1136,908.8,Aetna,EBR ASO,,397.6,,,,199.94,965.6,percent of total billed charges,
DEBRID MUSCLE EA ADD'L 20 CM,361,RC,11046,CPT,,,,,facility,outpatient,,,1136,908.8,Aetna,EBR ASO,,397.6,,,,36.52,965.6,percent of total billed charges,
PAR/CUT BEN HYPERK/SINGLE LES,361,RC,11055,CPT,,,,,facility,inpatient,,,373,298.4,Aetna,EBR ASO,,130.55,,,,65.65,317.05,percent of total billed charges,
PAR/CUT BEN HYPERK/SINGLE LES,361,RC,11055,CPT,,,,,facility,outpatient,,,373,298.4,Aetna,EBR ASO,,130.55,,,,22,931.2,percent of total billed charges,
PAR/CUT HYPERK LESION SINGLE,361,RC,11055,CPT,,,,,facility,inpatient,,,373,298.4,Aetna,EBR ASO,,130.55,,,,65.65,317.05,percent of total billed charges,
PAR/CUT HYPERK LESION SINGLE,361,RC,11055,CPT,,,,,facility,outpatient,,,373,298.4,Aetna,EBR ASO,,130.55,,,,22,931.2,percent of total billed charges,
PAR/CUT HYPERK LESION SINGLE,361,RC,11055,CPT,,,,,facility,inpatient,,,373,298.4,Aetna,EBR ASO,PO,130.55,,,,65.65,317.05,percent of total billed charges,
